YEAR,N,R2,RMSE,MAE,Bias
1980,7,0.5972,346.9,309.65,-10.51
1981,8,0.5342,397.15,270.4,56.56
1982,8,0.2192,613.78,508.57,19.46
1983,8,-0.0361,818.43,738.65,-153.28
1984,16,-0.1651,564.29,475.94,-212.4
1985,16,-0.1771,650.83,521.83,164.61
1986,14,-0.0625,421.48,333.84,101.73
1987,14,0.064,529.84,401.81,-36.33
1988,14,0.0062,523.84,438.52,-22.91
1989,15,-0.0272,468.41,376.32,-36.17
1990,16,-0.0154,393.38,290.67,51.61
1991,15,0.5595,382.51,331.9,-105.08
1992,14,0.2554,409.57,308.04,-4.19
1993,18,0.0116,428.52,274.1,-9.28
1994,19,-0.0869,580.84,458.35,164.83
1995,19,-0.0087,655.41,414.78,61.54
1996,19,-0.0991,463.38,394.61,-139.07
1997,19,0.5828,329.8,276.34,-91.52
1998,19,-0.2924,584.52,415.83,-5.73
1999,19,-3.9234,1200.88,1118.85,-1118.85
2000,18,-0.1537,456.28,365.59,-166.45
2001,17,0.2559,426.88,337.14,-61.9
2002,17,0.262,257.04,205.7,42.21
2003,19,0.2417,454.84,367.12,-53.28
2004,17,0.2141,428.04,354.25,8.97
2005,18,0.166,638.09,531.8,478.77
2006,20,0.1762,557.97,380.89,-160.85
2007,20,0.4671,397.29,324.48,-65.1
2008,20,-0.051,540.75,435.34,-119.24
2009,20,-2.0047,800.66,692.18,610.01
2010,20,-0.0569,461.71,365.5,-107.15
2011,20,-1.6964,1058.58,939.8,-888.93
2012,20,-0.3169,450.9,391.88,-221.11
2013,20,-0.2683,629.51,491.38,277.55
2014,19,-0.0802,625.97,509.52,139.77
2015,25,0.1382,934.19,815.19,446.7
2016,24,-0.1388,702.84,627.95,223.13
2017,18,0.0999,432.57,331.65,-48.78
2018,18,-0.0444,344.86,241.5,67.76
2019,15,-0.374,438.79,386.7,224.72
2020,13,0.1162,492.63,405.57,-114.96
2021,13,-1.6558,764.0,681.75,672.83
2022,13,-0.7612,532.13,388.43,283.01
2023,12,-0.314,744.87,622.83,305.16
2024,12,-0.2519,514.36,446.19,177.48
