WGMS_ID,NAME,LATITUDE,LONGITUDE,POLITICAL_UNIT,AREA,LOWER_BOUND,UPPER_BOUND
32,,57.099998,-130.820007,CA,5.74,1190.0,1820.0
34,,56.93,-130.970001,CA,91.900002,646.0,2190.0
1419,,52.68,-118.599998,CA,0.89,2200.0,2710.0
26,,52.080002,-126.220001,CA,4.6,1395.0,2650.0
1401,,51.200001,-117.199997,CA,1.23,1920.0,2620.0
25,,51.130001,-126.220001,CA,5.53,1570.0,2350.0
7,Athabasca Glacier,52.1707,-117.2783,CA,14.776,1920.0,3510.0
66,,51.4455,-124.911,CA,10.35,1460.0,2740.0
4,,56.25,-130.080002,CA,33.400002,650.0,2310.0
11,,50.549999,-123.980003,CA,1.07,1895.0,2380.0
58,,52.194,-117.186996,CA,1.35,2292.0,3320.0
47,,50.82,-123.57,CA,88.099998,1400.0,2900.0
10,,50.720001,-116.779999,CA,4.98,1800.0,3350.0
40,,59.150002,-122.279999,CA,0.04,2130.0,2290.0
17,,50.419998,-123.900002,CA,26.5,964.0,2650.0
6824,,52.150002,-117.300003,CA,235.300005,1511.0,3641.0
1392,,52.162998,-117.383003,CA,24.325001,1511.0,3567.0
10498,Conrad Glacier,50.810001,-116.940002,CA,11.35,1825.0,3235.0
64,,51.200001,-124.400002,CA,2.8,1830.0,2440.0
9,,52.07,-126.169998,CA,4.64,1525.0,2710.0
1398,,51.599998,-116.580002,CA,1.31,2350.0,2800.0
1421,,52.200001,-116.980003,CA,1.68,1880.0,3480.0
62,,51.369999,-123.849998,CA,1.49,2040.0,2750.0
56,,51.5,-116.529999,CA,1.9,2240.0,2680.0
20,,49.849998,-123.599998,CA,0.44,1645.0,2165.0
35,,57.126,-132.099,CA,11.0,300.0,1980.0
33,,56.900002,-130.929993,CA,99.199997,620.0,1980.0
1404,,51.25,-125.220001,CA,131.8,270.0,3350.0
1395,,51.77,-115.769997,CA,39.810001,1640.0,3290.0
61,,51.049999,-123.849998,CA,4.43,1880.0,2652.0
27,,52.099998,-126.230003,CA,20.0,1320.0,2680.0
21,,49.849998,-122.629997,CA,2.1,1525.0,2375.0
12,,50.52,-123.879997,CA,9.46,1139.0,2500.0
1397,,51.582432,-116.267197,CA,2.48,2410.0,3340.0
45,Helm Glacier,49.9576,-122.9873,CA,1.725,1767.0,2155.0
1407,,51.029999,-122.900002,CA,4.19,1960.0,2850.0
1400,Illecillewaet Glacier,51.23,-117.419998,CA,7.03,1980.0,2908.0
23,Kokanee Glacier,49.75,-117.139999,CA,2.284,2208.0,2805.0
69,,57.049999,-130.979996,CA,43.66,1000.0,2255.0
1405,,51.07,-122.800003,CA,3.28,1870.0,3020.0
3,,59.73,-136.679993,CA,6.13,1193.0,1981.0
31,,57.07,-130.820007,CA,3.5,1130.0,1980.0
5,,53.919998,-127.769997,CA,0.99,1580.0,2100.0
28,,52.099998,-126.279999,CA,8.9,1460.0,2530.0
10497,Nordic Glacier,51.4292,-117.71,CA,3.39,2065.0,2990.0
43,,50.02,-122.830002,CA,2.6,1635.0,2630.0
1406,,51.049999,-122.879997,CA,0.15,2520.0,2740.0
57,Peyto Glacier,51.6599,-116.5638,CA,12.07,2125.0,3190.0
41,Place Glacier,50.425,-122.601,CA,3.13,1820.0,2610.0
29,,52.150002,-126.370003,CA,13.9,545.0,2930.0
67,,50.619999,-114.980003,CA,0.4,2417.0,2763.0
1394,,51.849998,-116.480003,CA,1.8,2560.0,3020.0
