year,y_test,y_pred
1980,-0.923,-0.9369
1980,0.272,0.277475
1980,-0.67,-0.36304000000000003
1980,-0.58,-0.9556749999999999
1980,-0.51,-0.34301
1980,-1.18,-0.664845
1980,-1.61,-0.535005
1981,-1.16,-0.883125
1981,-1.093,-0.894375
1981,0.17,0.317455
1981,-0.2,-0.09361
1981,-1.13,-0.750985
1981,0.13,0.27555
1981,-1.0,-0.88517
1981,-1.31,-0.0381
1982,-1.33,-0.906395
1982,-0.754,-0.723345
1982,0.86,1.007735
1982,-0.52,0.071905
1982,-0.56,-0.72625
1982,-0.12,0.25032
1982,-0.08,0.033
1982,0.75,-0.666685
1983,-0.59,-0.8987
1983,-0.441,-0.952345
1983,1.2,0.75906
1983,0.37,-0.29758
1983,-0.39,-0.8626699999999999
1983,0.65,-0.069565
1983,-0.93,-0.435975
1983,1.34,-0.659395
1984,-1.16,-0.6096050000000001
1984,-0.337,-0.6751849999999999
1984,0.85,0.653255
1984,0.31,0.022125
1984,-0.58,-0.47657
1984,0.75,0.16133
1984,0.09,0.407415
1984,0.21,-0.029835
1984,0.39,0.37739999999999996
1984,0.58,0.15961
1984,0.33,0.042655
1984,0.86,-0.15146500000000002
1984,0.11,0.013005000000000001
1984,0.51,0.01597
1984,-0.04,0.292765
1984,0.49,-0.13576
1985,-1.37,-0.7370399999999999
1985,-1.882,-1.4604000000000001
1985,-0.84,-0.241675
1985,-1.21,-0.744925
1985,-0.81,-0.73768
1985,-1.37,0.11598
1985,-0.23,-0.091625
1985,-0.31,-0.25178
1985,-0.16,0.016475
1985,0.04,-0.09820999999999999
1985,-0.22,-0.039604999999999994
1985,-0.75,-0.684655
1985,-0.51,-0.0364
1985,-0.69,-0.041174999999999996
1985,-1.36,-0.9934850000000001
1985,0.42,-0.52211
1986,-1.312,-0.7703150000000001
1986,-0.372,0.5030950000000001
1986,-0.47,-0.649715
1986,-0.1,-0.17565
1986,-0.2,-1.04322
1986,-0.22,-0.5203300000000001
1986,0.2,-0.875355
1986,-0.07,-0.47204
1986,-0.45,-0.72636
1986,-0.36,-0.670395
1986,0.12,-0.50344
1986,-0.92,-1.017455
1986,-0.92,-0.956415
1986,-0.64,-0.573605
1987,-0.845,-1.045595
1987,0.098,0.245885
1987,-0.62,-1.165265
1987,-0.47,-0.747875
1987,-0.63,-1.25715
1987,-0.56,-0.48014
1987,-0.26,-1.052585
1987,-0.3,-0.482765
1987,-1.39,-0.871345
1987,-0.87,-0.72502
1987,-0.38,-0.51198
1987,-2.22,-1.591475
1987,-0.79,-0.8492999999999999
1987,-1.15,-0.54684
1988,-0.969,-0.9282849999999999
1988,0.367,0.15728
1988,-0.99,-0.833745
1988,-0.06,-0.00674
1988,0.14,-0.42142
1988,-0.06,-0.17872
1988,0.43,-0.134965
1988,0.17,-0.22382
1988,-0.24,-0.43961500000000003
1988,-0.15,-0.179985
1988,0.23,-0.18422
1988,-1.28,-0.80344
1988,0.22,-0.64444
1988,-0.53,-0.079905
1989,-1.51,-1.003345
1989,-1.04,-1.1769349999999998
1989,-0.882,0.056315
1989,-0.59,-0.91865
1989,-0.19,-0.257425
1989,-0.09,-0.375165
1989,-0.29,-0.37795
1989,-0.24,-0.384595
1989,0.03,-0.29036
1989,-0.67,-0.693605
1989,-0.37,-0.34690499999999996
1989,0.09,-0.292445
1989,-1.34,-0.872435
1989,-0.64,-0.539705
1989,-0.58,-0.37418
1990,-1.56,-0.982375
1990,-0.938,-1.1513550000000001
1990,-0.74,-0.8427899999999999
1990,-0.32,-0.6041449999999999
1990,-0.06,-0.775245
1990,-0.51,-0.874955
1990,-0.46,-0.8820800000000001
1990,-0.12,-0.705055
1990,-0.92,-0.85474
1990,-0.68,-0.82036
1990,-0.27,-0.6950299999999999
1990,-0.4,-0.885605
1990,-1.18,-0.724005
1990,-0.58,-0.71773
1990,-0.32,-0.6757949999999999
1990,-0.9,0.19080000000000003
1991,-0.99,-0.49823500000000004
1991,-1.215,-0.45071
1991,0.23,0.31420499999999996
1991,0.38,0.102925
1991,0.04,0.06164
1991,0.44,0.019995000000000002
1991,0.36,-0.372505
1991,0.63,-0.563105
1991,-0.07,-0.26039
1991,0.3,-0.37662
1991,-0.44,0.28274
1991,-0.79,-1.1101500000000002
1991,0.41,0.075765
1991,0.48,0.09201000000000001
1991,0.55,0.304585
1992,-0.79,-1.416145
1992,-0.74,-0.804695
1992,-2.06,-0.64075
1992,-1.85,-2.48267
1992,-1.76,-0.7192799999999999
1992,-1.65,-1.96909
1992,-1.38,-0.803235
1992,-2.23,-0.95075
1992,-1.7,-0.837135
1992,-1.92,-0.835385
1992,-2.43,-1.343525
1992,-1.18,-1.4999149999999999
1992,-1.67,-1.016455
1992,-1.88,-0.79389
1993,-2.28,-1.568115
1993,-1.215,-0.66887
1993,-0.66,-0.20036500000000002
1993,-0.9,-1.40759
1993,-0.48,-1.14404
1993,-0.8,-1.362905
1993,-0.62,-1.25452
1993,-1.02,-1.311
1993,-0.83,-1.26297
1993,-0.73,-1.28847
1993,-1.1,-0.97789
1993,-1.35,-1.079345
1993,-1.01,-1.31778
1993,-1.069,-0.339215
1993,-0.057,-0.198935
1993,-0.952,-1.336955
1993,-0.96,-1.28122
1993,-0.98,-0.115005
1994,-2.01,-1.4007049999999999
1994,-1.295,-1.12883
1994,-0.62,-1.34727
1994,-0.96,-1.1319000000000001
1994,-0.55,-1.150665
1994,-0.72,-1.0221799999999999
1994,-0.4,-1.47444
1994,-1.23,-1.7397799999999999
1994,-0.45,-1.5009400000000002
1994,-0.68,-1.55569
1994,-1.83,-1.54699
1994,-1.75,-1.3000450000000001
1994,-0.92,-1.335175
1994,-1.926,-1.39693
1994,-0.185,-1.264495
1994,-1.163,-1.28313
1994,-0.19,-1.074925
1994,-0.88,-1.2779200000000002
1994,-0.71,-0.5983999999999999
1995,-2.486,-0.777835
1995,-0.3,-0.7848849999999999
1995,-0.26,0.08015
1995,-0.45,-0.259875
1995,-0.21,-0.411445
1995,-0.2,-0.350315
1995,0.18,-0.11488
1995,0.47,-0.52024
1995,0.24,-0.12133
1995,0.31,-0.14983000000000002
1995,-1.12,-0.29835500000000004
1995,-0.01,-1.37592
1995,-0.31,-0.311515
1995,-0.47,-0.34741000000000005
1995,0.436,-0.082875
1995,-0.108,-0.979635
1995,0.365,-0.03193
1995,-0.25,-0.47208999999999995
1995,-0.48,0.14864
1996,-0.221,-0.083265
1996,0.129,-0.34626
1996,0.34,0.03478
1996,-0.62,-0.42785
1996,-0.18,-0.061399999999999996
1996,0.12,-0.464225
1996,0.53,-0.287715
1996,0.57,-0.488225
1996,0.45,-0.321915
1996,0.34,-0.275975
1996,-0.22,0.22712000000000002
1996,-0.79,-1.02513
1996,0.22,-0.47408
1996,0.343,-0.2518
1996,0.888,0.13299
1996,0.224,-0.09288500000000001
1996,0.826,0.14362
1996,0.06,-0.28359500000000004
1996,-0.41,0.45077
1997,-0.888,-0.2768
1997,-0.818,-0.8955850000000001
1997,0.5,0.34612
1997,0.35,0.5889500000000001
1997,0.27,1.1607100000000001
1997,0.51,0.75567
1997,0.62,0.09574500000000001
1997,0.76,0.07399
1997,0.88,0.050435
1997,0.5,0.09977
1997,0.19,0.561
1997,-0.49,-0.9225800000000001
1997,0.53,0.29567
1997,0.88,0.17134
1997,0.63,0.184115
1997,0.1,0.212565
1997,0.87,0.25744
1997,0.42,0.28445
1997,0.43,0.7504299999999999
1998,-2.45,-1.386915
1998,-2.21,-1.22861
1998,-2.03,-1.131335
1998,-1.46,-1.028105
1998,-1.38,-0.72435
1998,-1.49,-0.8779
1998,-1.97,-1.1246500000000001
