year,test_samples,r_squared,r,rmse,mae,bias
1980,7,0.19460287883641636,0.628624196091093,0.4905483691019383,0.3513071428571429,0.24000000000000002
1981,8,0.28200849338668277,0.7814605694437613,0.49306771555740697,0.33008,0.33008
1982,8,0.29086122813217385,0.6085437358880548,0.5849251488892617,0.407519375,0.011785625000000022
1983,8,-0.1561952083345468,0.6040614822476544,0.8645585812858491,0.7017774999999999,-0.57827125
1984,16,0.2927625745079414,0.6693470835622655,0.4396507495480077,0.36899375,-0.20599312499999997
1985,16,0.10681850664874304,0.6008900530781691,0.5669440849523876,0.429020625,0.293980625
1986,14,-0.620500937497444,0.2594500274680835,0.5205152722749148,0.40739642857142855,-0.19551428571428572
1987,14,0.3884929121794273,0.6442129523771682,0.42826298776903093,0.3528985714285714,-0.049603571428571414
1988,14,0.41390532072368547,0.7151384840149358,0.40229110406609075,0.3238421428571429,-0.15571571428571426
1989,15,0.4071824010103118,0.6445151762606772,0.3558490073682937,0.26792499999999997,0.030974333333333357
1990,16,-0.4843306004622845,0.08442177104673292,0.47562076754522875,0.4013640625,-0.1276540625
1991,15,0.09918118968912026,0.48295663362951186,0.5470014361224292,0.45747533333333334,-0.1795233333333333
1992,14,-2.416606984621726,-0.0363920263538973,0.8773049277718992,0.7894364285714285,0.5090771428571427
1993,18,-0.4215303876757861,0.3509245072463335,0.5138970884168671,0.4729211111111111,-0.061232777777777754
1994,19,-0.2824601531028694,0.2695640897881437,0.6309352901488893,0.5452426315789473,-0.3190215789473684
1995,19,-0.10790931083996647,0.22574323564426993,0.6868850690205903,0.5332213157894737,-0.13203026315789473
1996,19,-0.7726454167431867,0.24239601092538224,0.5884816457988349,0.526673157894737,-0.34179157894736845
1997,19,0.09217625770591331,0.5629672145168888,0.4865308722678725,0.4227165789473684,-0.12897710526315787
1998,19,-1.3856492058593775,0.12131627044226906,0.7941484811344525,0.7152092105263157,0.5703292105263158
1999,19,-2.821843300186543,0.6565249345919139,1.0580409830330921,0.9887360526315789,-0.9685813157894736
2000,18,-0.9385260267357449,-0.29876878574558985,0.5914398011796673,0.4822094444444445,-0.12943500000000002
2001,17,-2.1086159542926244,-0.34115226234765816,0.8724961271319742,0.7573479411764705,0.5864338235294119
2002,17,-0.329275470825116,0.436086674874164,0.3449792411764034,0.29366441176470587,-0.12309382352941178
2003,19,-0.6948330162796355,0.2090449818313742,0.680001198424834,0.5092355263157895,0.4378971052631579
2004,17,-0.12176024706511024,0.6767110264946997,0.5113935287942614,0.4620738235294118,0.357365
2005,18,-1.6166167676363803,0.6684124549427569,1.1302638330545267,1.013726111111111,1.003683888888889
2006,20,-0.08761966221445738,0.22185669871065247,0.6411195757140394,0.5081122500000002,0.09833174999999997
2007,20,-0.10287537972364857,0.38059528284059174,0.5715160587124827,0.4674647500000001,0.009051749999999987
2008,20,0.06980240981414743,0.5894518308401133,0.5087335311486751,0.38440250000000004,-0.27788850000000004
2009,20,-1.752010972802085,0.18260409965550226,0.7662565556505863,0.6505785000000002,0.5827580000000001
2010,20,-1.2585351370133826,0.036489928374642204,0.67494982419251,0.5281475,-0.3062115
2011,20,-1.164046920486641,0.6285304240865291,0.948341888429484,0.8048819999999999,-0.8048819999999999
2012,20,-2.0901546234025736,-0.2603092529000011,0.6907140379002732,0.5382784999999999,-0.15119549999999998
2013,20,-0.49670590670946746,-0.08488012329940565,0.6838506762261773,0.5689244999999998,0.13401899999999997
2014,19,-0.04886856297021036,0.20727674947357233,0.6168264684071457,0.5216044736842105,0.02059973684210526
2015,25,-0.2584068131582644,0.6192709759038565,1.128859132569693,0.9557216,0.7992147999999999
2016,24,-0.5546363038460937,0.33445021274244846,0.8211839901439567,0.6811108333333333,-0.49994000000000005
2017,18,-0.682905593711405,0.2965824786021964,0.5914755523195077,0.4758527777777778,-0.3997616666666667
2018,18,-0.9986075921118169,0.2989563338192341,0.47705129994786144,0.4177997222222222,-0.29972694444444437
2019,15,-1.1465684372005112,0.24428600284494886,0.5484460269585939,0.45398333333333335,0.278956
2020,13,-0.24433537818158424,0.46014389600731587,0.5845319279840001,0.5144003846153846,-0.3397011538461538
2021,13,-2.9978377124754196,0.48299781711848283,0.9373554118769465,0.8410342307692308,0.8410342307692308
2022,13,-1.0498931455224412,0.18507637082710682,0.5740853035331007,0.4464873076923077,0.3262388461538462
2023,12,-6.521631400976233,-0.3928713926502153,1.7821157560122416,1.5941762499999996,1.42117625
2024,12,-1.781591485844888,0.2110877255262525,0.7666928257688451,0.61146625,0.61146625
